Cycle,Class,Precision,Recall,F1-score,Accuracy,Confusion Matrix,Labelled Samples
7,good,0.36363636363636365,0.2857142857142857,0.32,0.869942196531792,"[[65, 4, 4, 4], [4, 4, 1, 5], [15, 0, 227, 0], [5, 3, 0, 5]]",538
7,unacc,0.978448275862069,0.9380165289256198,0.9578059071729956,0.869942196531792,"[[65, 4, 4, 4], [4, 4, 1, 5], [15, 0, 227, 0], [5, 3, 0, 5]]",538
7,vgood,0.35714285714285715,0.38461538461538464,0.3703703703703704,0.869942196531792,"[[65, 4, 4, 4], [4, 4, 1, 5], [15, 0, 227, 0], [5, 3, 0, 5]]",538
8,acc,0.7954545454545454,0.9090909090909091,0.8484848484848484,0.9017341040462428,"[[70, 1, 2, 4], [4, 4, 1, 5], [9, 0, 233, 0], [5, 3, 0, 5]]",588
8,good,0.5,0.2857142857142857,0.36363636363636365,0.9017341040462428,"[[70, 1, 2, 4], [4, 4, 1, 5], [9, 0, 233, 0], [5, 3, 0, 5]]",588
8,unacc,0.9872881355932204,0.9628099173553719,0.9748953974895397,0.9017341040462428,"[[70, 1, 2, 4], [4, 4, 1, 5], [9, 0, 233, 0], [5, 3, 0, 5]]",588
8,vgood,0.35714285714285715,0.38461538461538464,0.3703703703703704,0.9017341040462428,"[[70, 1, 2, 4], [4, 4, 1, 5], [9, 0, 233, 0], [5, 3, 0, 5]]",588
9,acc,0.7931034482758621,0.8961038961038961,0.8414634146341463,0.9075144508670521,"[[69, 3, 2, 3], [3, 7, 1, 3], [10, 0, 232, 0], [5, 2, 0, 6]]",638
9,good,0.5833333333333334,0.5,0.5384615384615384,0.9075144508670521,"[[69, 3, 2, 3], [3, 7, 1, 3], [10, 0, 232, 0], [5, 2, 0, 6]]",638
9,unacc,0.9872340425531915,0.9586776859504132,0.9727463312368974,0.9075144508670521,"[[69, 3, 2, 3], [3, 7, 1, 3], [10, 0, 232, 0], [5, 2, 0, 6]]",638
9,vgood,0.5,0.46153846153846156,0.48000000000000004,0.9075144508670521,"[[69, 3, 2, 3], [3, 7, 1, 3], [10, 0, 232, 0], [5, 2, 0, 6]]",638
10,acc,0.8095238095238095,0.8831168831168831,0.84472049689441,0.9075144508670521,"[[68, 3, 4, 2], [2, 7, 1, 4], [9, 0, 233, 0], [5, 2, 0, 6]]",688
10,good,0.5833333333333334,0.5,0.5384615384615384,0.9075144508670521,"[[68, 3, 4, 2], [2, 7, 1, 4], [9, 0, 233, 0], [5, 2, 0, 6]]",688
10,unacc,0.9789915966386554,0.9628099173553719,0.9708333333333334,0.9075144508670521,"[[68, 3, 4, 2], [2, 7, 1, 4], [9, 0, 233, 0], [5, 2, 0, 6]]",688
10,vgood,0.5,0.46153846153846156,0.48000000000000004,0.9075144508670521,"[[68, 3, 4, 2], [2, 7, 1, 4], [9, 0, 233, 0], [5, 2, 0, 6]]",688
11,acc,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.9161849710982659,"[[70, 3, 2, 2], [1, 7, 1, 5], [8, 0, 234, 0], [5, 2, 0, 6]]",738
