Cycle,Class,Precision,Recall,F1-score,Accuracy,Confusion Matrix,Labelled Samples
7,good,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.9248554913294798,"[[71, 0, 3, 3], [0, 11, 0, 3], [7, 1, 233, 1], [6, 2, 0, 5]]",538
7,unacc,0.9872881355932204,0.9628099173553719,0.9748953974895397,0.9248554913294798,"[[71, 0, 3, 3], [0, 11, 0, 3], [7, 1, 233, 1], [6, 2, 0, 5]]",538
7,vgood,0.4166666666666667,0.38461538461538464,0.4,0.9248554913294798,"[[71, 0, 3, 3], [0, 11, 0, 3], [7, 1, 233, 1], [6, 2, 0, 5]]",538
8,acc,0.8734177215189873,0.8961038961038961,0.8846153846153846,0.9335260115606936,"[[69, 0, 4, 4], [2, 11, 0, 1], [6, 2, 234, 0], [2, 2, 0, 9]]",588
8,good,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.9335260115606936,"[[69, 0, 4, 4], [2, 11, 0, 1], [6, 2, 234, 0], [2, 2, 0, 9]]",588
8,unacc,0.9831932773109243,0.9669421487603306,0.975,0.9335260115606936,"[[69, 0, 4, 4], [2, 11, 0, 1], [6, 2, 234, 0], [2, 2, 0, 9]]",588
8,vgood,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.9335260115606936,"[[69, 0, 4, 4], [2, 11, 0, 1], [6, 2, 234, 0], [2, 2, 0, 9]]",588
9,acc,0.875,0.9090909090909091,0.8917197452229298,0.930635838150289,"[[70, 0, 3, 4], [0, 12, 1, 1], [7, 3, 232, 0], [3, 2, 0, 8]]",638
9,good,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.930635838150289,"[[70, 0, 3, 4], [0, 12, 1, 1], [7, 3, 232, 0], [3, 2, 0, 8]]",638
9,unacc,0.9830508474576272,0.9586776859504132,0.9707112970711298,0.930635838150289,"[[70, 0, 3, 4], [0, 12, 1, 1], [7, 3, 232, 0], [3, 2, 0, 8]]",638
9,vgood,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.930635838150289,"[[70, 0, 3, 4], [0, 12, 1, 1], [7, 3, 232, 0], [3, 2, 0, 8]]",638
10,acc,0.8928571428571429,0.974025974025974,0.9316770186335404,0.953757225433526,"[[75, 0, 1, 1], [0, 13, 0, 1], [5, 2, 235, 0], [4, 2, 0, 7]]",688
10,good,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.953757225433526,"[[75, 0, 1, 1], [0, 13, 0, 1], [5, 2, 235, 0], [4, 2, 0, 7]]",688
10,unacc,0.9957627118644068,0.9710743801652892,0.9832635983263598,0.953757225433526,"[[75, 0, 1, 1], [0, 13, 0, 1], [5, 2, 235, 0], [4, 2, 0, 7]]",688
10,vgood,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.953757225433526,"[[75, 0, 1, 1], [0, 13, 0, 1], [5, 2, 235, 0], [4, 2, 0, 7]]",688
11,acc,0.8846153846153846,0.8961038961038961,0.8903225806451613,0.9364161849710982,"[[69, 0, 7, 1], [0, 13, 0, 1], [5, 2, 235, 0], [4, 2, 0, 7]]",738
11,good,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.9364161849710982,"[[69, 0, 7, 1], [0, 13, 0, 1], [5, 2, 235, 0], [4, 2, 0, 7]]",738
11,unacc,0.9710743801652892,0.9710743801652892,0.9710743801652892,0.9364161849710982,"[[69, 0, 7, 1], [0, 13, 0, 1], [5, 2, 235, 0], [4, 2, 0, 7]]",738
11,vgood,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.9364161849710982,"[[69, 0, 7, 1], [0, 13, 0, 1], [5, 2, 235, 0], [4, 2, 0, 7]]",738
12,acc,0.8961038961038961,0.8961038961038961,0.8961038961038962,0.9393063583815029,"[[69, 0, 4, 4], [0, 13, 0, 1], [5, 2, 235, 0], [3, 2, 0, 8]]",788
12,good,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.9393063583815029,"[[69, 0, 4, 4], [0, 13, 0, 1], [5, 2, 235, 0], [3, 2, 0, 8]]",788
12,unacc,0.9832635983263598,0.9710743801652892,0.9771309771309772,0.9393063583815029,"[[69, 0, 4, 4], [0, 13, 0, 1], [5, 2, 235, 0], [3, 2, 0, 8]]",788
12,vgood,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.9393063583815029,"[[69, 0, 4, 4], [0, 13, 0, 1], [5, 2, 235, 0], [3, 2, 0, 8]]",788
13,acc,0.8780487804878049,0.935064935064935,0.9056603773584906,0.9450867052023122,"[[72, 0, 5, 0], [0, 13, 0, 1], [6, 1, 235, 0], [4, 2, 0, 7]]",838
13,good,0.8125,0.9285714285714286,0.8666666666666666,0.9450867052023122,"[[72, 0, 5, 0], [0, 13, 0, 1], [6, 1, 235, 0], [4, 2, 0, 7]]",838
13,unacc,0.9791666666666666,0.9710743801652892,0.9751037344398341,0.9450867052023122,"[[72, 0, 5, 0], [0, 13, 0, 1], [6, 1, 235, 0], [4, 2, 0, 7]]",838
13,vgood,0.875,0.5384615384615384,0.6666666666666667,0.9450867052023122,"[[72, 0, 5, 0], [0, 13, 0, 1], [6, 1, 235, 0], [4, 2, 0, 7]]",838
14,acc,0.8795180722891566,0.948051948051948,0.9125,0.9421965317919075,"[[73, 0, 4, 0], [0, 11, 0, 3], [6, 1, 235, 0], [4, 2, 0, 7]]",888
14,good,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.9421965317919075,"[[73, 0, 4, 0], [0, 11, 0, 3], [6, 1, 235, 0], [4, 2, 0, 7]]",888
14,unacc,0.9832635983263598,0.9710743801652892,0.9771309771309772,0.9421965317919075,"[[73, 0, 4, 0], [0, 11, 0, 3], [6, 1, 235, 0], [4, 2, 0, 7]]",888
14,vgood,0.7,0.5384615384615384,0.608695652173913,0.9421965317919075,"[[73, 0, 4, 0], [0, 11, 0, 3], [6, 1, 235, 0], [4, 2, 0, 7]]",888
15,acc,0.8888888888888888,0.935064935064935,0.9113924050632912,0.9421965317919075,"[[72, 0, 4, 1], [0, 11, 0, 3], [7, 1, 234, 0], [2, 2, 0, 9]]",938
15,good,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.9421965317919075,"[[72, 0, 4, 1], [0, 11, 0, 3], [7, 1, 234, 0], [2, 2, 0, 9]]",938
15,unacc,0.9831932773109243,0.9669421487603306,0.975,0.9421965317919075,"[[72, 0, 4, 1], [0, 11, 0, 3], [7, 1, 234, 0], [2, 2, 0, 9]]",938
